Nom;Région;année;couleur;Prix;origine;cépage;Elevage;Description;conso max;service (degrés);accompagnement;Nez;Bouche
marsannay;Bourgogne;2011;rouge;14,63;Appellation située au nord de la côte de Nuits. Plus connue pour sa production de vins rosés, elle produit également d'excellents vins rouges dans les bonnes années.;Pinot Noir.;14 mois en pièces bourguignonne de 228L. Bouchage liège naturel.;Nord de la Côte de Nuits, au-dessus de Gevrey Chambertin. Cette cuvée est bien dans l'esprit du terroir : un vin typé pinot, délicat, plein de charme, tout en velours. Très belle finale harmonieuse, fondue.;2019;17;Lotte, Turbot, Poulet Fermier, Viande blanche, Gibier, Crèpes;un vin typé pinot, délicat, plein de charme, tout en velours;Très belle finale harmonieuse, fondue.
chambolle mussigny;Bourgogne;2012;rouge;63,85;"La parcelle ""les Noirots"" est une toute petite parcelle située au sud du célèbre Grand Cru de Bonnes Mares.";Pinot Noir.;16 mois en pièce bourguignonne de 228L.;Nez complexe, intense de fruits rouges, d'épices (notes de poivre) mêlés à des nuances empyreumatiques et de sous-bois. Cette complexité se poursuit en bouche, avec des saveurs denses, concentrées et enrobées. Grand vin opulent, puissant, racé et long !;2027;17;;Nez complexe, intense de fruits rouges, d'épices (notes de poivre) mêlés à des nuances empyreumatiques et de sous-bois.;Cette complexité se poursuit en bouche, avec des saveurs denses, concentrées et enrobées.
cheverny;Loire;2016;blanc;9,05;Vignoble entourant le célèbre Château de Cheverny, aux environs de Blois. Terroir de sables sur argiles à silex.;75% Sauvignon et 25% Chardonnay;6 mois sur lies.;Magnifique AOC du centre de la Loire, entre Tours et Orléans. Nez intensément parfumé, typiquement Sauvignon où les arômes de buis et de cassis se mêlent à des notes d'églantier. La bouche est tonique, minérale.;2020;8;coquillage, poisson;Nez intensément parfumé, typiquement Sauvignon où les arômes de buis et de cassis se mêlent à des notes d'églantier;La bouche est tonique, minérale
sancerre blanc;Loire;2015;blanc;16,01;Val de Loire, centre de la France. Très belle exposition. Vignoble de Verdigny reposant sur des terres argilo-calcaires.;"Sauvignon blanc (nommé sur place ""Le Breton"").";Elevage de 4 mois pour permettre au vin de se nourrir de ses lies.;Toute l'expression du cépage Sauvignon sur le terroir calcaire du vignoble de Verdigny. Superbe nez racé aux arômes de fruits mûrs, de cassis, d'églantier, de buis. Belle expression en bouche, mariant minéralité et fruit, avec une belle fraîcheur. Un grand classique.;2020;8;Entrée froide, Saumon Fumé, Terrine de poissons, Salade, Fruits de mer, Gambas, Huîtres, Saumon, Fromage frais, Fromage de chèvre, Salades,Tomate crevette;Superbe nez racé aux arômes de fruits mûrs, de cassis, d'églantier, de buis; Belle expression en bouche, mariant minéralité et fruit, avec une belle fraîcheur.
sancerre rouge;Loire;2015;rouge;15,13;Très belle exposition. Vignoble de Verdigny reposant sur des terres argilo-calcaires.;Pinot Noir 100%.;6 mois en barriques.;"Nez aromatique et friand qui ""pinote"" (cerise rouge du nord, fruits des bois, sous-bois, champignons). La bouche est délicieuse, charmeuse, déployant ses notes de fruits et d'épices (notes de poivre) avec fraîcheur et élégance. Le vin est rond, ample, souple, et soyeux. La finale très harmonieuse témoigne de la maturité de ce cru.";2020;13;;"Nez aromatique et friand qui ""pinote"" (cerise rouge du nord, fruits des bois, sous-bois, champignons).";La bouche est délicieuse, charmeuse, déployant ses notes de fruits et d'épices (notes de poivre) avec fraîcheur et élégance.
condrieu;Rhone;2015;blanc;32,07;Parmi les plus grands vins blancs de France. Les sols en fortes pentes entre Côte-Rôtie et Saint-Joseph imposent un travail non mécanisé de la vigne. Cette cuvée est issue d'une petite propriété de 1,8 Ha à l'exposition parfaite et au terroir sablo-argileux très friable sur sous-sol fissuré à dominante calcaire.;On produit exclusivement des vins blancs sur Condrieu. A partir d'un cépage unique: le Viognier;Elevage de 10 mois, sur lies.;Belle intensité aromatique à la fois riche et complexe, avec des arômes d'abricots, de pêche, et une intensité épicée remarquable. La bouche allie volume et équilibre. Voici un très grand vin des Côtes du Rhône. On apprécie la race, la minéralité et l'onctuosité. Grande Longueur. Superbe.;2025;10;Gambas, Homard, Langouste, Saint Jacques, Poisson Grillé, Thon, espadon, Poissons en sauce, Volaille, Préparations italiennes, Asperges;Belle intensité aromatique à la fois riche et complexe, avec des arômes d'abricots, de pêche, et une intensité épicée remarquable;La bouche allie volume et équilibre
laudun;Rhone;2016;blanc;8,83;Rhône méridional, non loin de Châteauneuf-du-Pape sur la rive opposée du Rhône. Terroir en coteaux formés de sables et d'éboulis calcaires mêlés à de l'argile. Ces terroirs riches en calcaires sont à l'origine de blancs puissants et généreux qui bénéficient d'une excellente réputation.;Viognier 40%, Grenache 50%, Roussanne 10%.;4 mois sur lies.;Rhône méridional, non loin de Châteauneuf-du-Pape sur la rive opposée du Rhône. Magnifique nez intense de fruits du verger (pêche, mirabelle) associés à des nuances d'épices et une note citronnée. Cette intensité aromatique se prolonge en bouche avec des saveurs à la fois denses, racées et complexes. La finale allurée, laisse le souvenir d'un vin important aux saveurs persistantes. Une magnifique découverte !;2020;11;Foie Gras, Melon Jambon, Gambas, Poissons, Poisson au four, Turbot, Volaille, Ris de veau, Préparations italiennes, Paella, Asperges, Aperitif;Magnifique nez intense de fruits du verger (pêche, mirabelle) associés à des nuances d'épices et une note citronnée;Cette intensité aromatique se prolonge en bouche avec des saveurs à la fois denses, racées et complexes.
ventoux;Rhone;2015;rouge;5,69;Vallée du Rhône, au pied du célèbre Mont Ventoux. Terrasse caillouteuse sur sous-sol de sables marins.;Majoritairement Grenache. Syrah 5%.;;Belle robe rouge grenat. Nez intense et expressif de fruits rouges (à noyaux) et d'épices (aiguilles de pin, réglisse, etc). En bouche, les saveurs sont fruitées, épicées et florales. L'ensemble se montre souple et juteux. Un Côtes du Ventoux plein de charme, gourmand, et frais.;2018;15;;Nez intense et expressif de fruits rouges (à noyaux) et d'épices (aiguilles de pin, réglisse, etc). ;En bouche, les saveurs sont fruitées, épicées et florales.
lirac;Rhone;2015;rouge;9,23;Vignoble caillouteux situé sur la rive ouest du Rhône, face à Châteauneuf-du-Pape, à l'origine de vins riches et généreux. Terroir fin, élégant (cailloutis calcaires et galets roulés). AOC Cru du Rhône depuis 1998.;Grenache 50 %, Syrah 20%, Mourvèdre 20% et Cinsault 10%.;18 mois en barriques de chêne.;La robe noire annonce la couleur: bouquet intense de fruits noirs (noyaux) et d'épices associé à des notes de chocolat et de garrigue. La bouche dévoile d'abord des saveurs de fruits frais et d'épices. Elle est remarquablement concentrée. Finale cacao, à la fois dense, puissante, juteuse et harmonieuse.;2022;15;;La robe noire annonce la couleur: bouquet intense de fruits noirs (noyaux) et d'épices associé à des notes de chocolat et de garrigue;La bouche dévoile d'abord des saveurs de fruits frais et d'épices. Elle est remarquablement concentrée
hermitage;Rhone;2009;rouge;34,74;Terroir d'exception en forte pente au sous-sol granitique et au sol de granite décomposé.;Syrah pure. Conditions culturale difficile (forte pente). Rendement inférieur à 20 hl/ha.;Elevage de 13 mois en barrique d'un an. Clarification par sédimentation naturelle.;Terroir d'exception. Nez empyreumatique, associant fruits noirs surmûris et agrumes à des notes de tabac et de réglisse. La bouche est racée et concentrée, alliant matière et fraîcheur. Les saveurs sont à la fois fruitées, épicées et florales. L'ensemble est puissant, long et élégant. Grand vin.;2022;17;Viande rouges, Tournedos,gibier ;Nez empyreumatique, associant fruits noirs surmûris et agrumes à des notes de tabac et de réglisse. ;La bouche est racée et concentrée, alliant matière et fraîcheur
